title,views,assigned_category
Real Madryt,2839737,Społeczeństwo
Krzysztof Bosak,2823342,Biografie
Kot domowy,2821662,Nauki ścisłe i przyrodnicze
Nikola Tesla,2818691,Biografie
Maroko,2813106,Geografia
Jan III Sobieski,2805431,Biografie
Przedłużanie życia,2799331,Nauki ścisłe i przyrodnicze
Korea Południowa,2776885,Geografia
Agnieszka Osiecka,2774485,Biografie
Marilyn Monroe,2770406,Biografie
Powstanie listopadowe,2767751,Historia
Zdzisław Beksiński,2755463,Biografie
Toruń,2751880,Polska
Argentyna,2751636,Geografia
Harry Potter,2750052,Kultura i sztuka
Rzeszów,2744623,Polska
Lista państw Europy,2742397,Geografia
Eminem,2740071,Biografie
Kosowo,2723622,Geografia
Białystok,2712695,Polska
Monako,2712211,Geografia
Krzysztof Kolumb,2706397,Biografie
James Bond (seria filmów),2686648,Kultura i sztuka
Fame MMA,2671621,Społeczeństwo
Lwów,2669075,Geografia
Ludność świata,2655149,Społeczeństwo
Świat według Kiepskich,2651161,Kultura i sztuka
Chrześcijaństwo,2646420,Religioznawstwo
Bułgaria,2629084,Geografia
Puchar Świata w skokach narciarskich,2624900,Społeczeństwo
Komunizm,2622458,Nauki społeczne i humanistyczne
Jugosławia,2614691,Historia
Lady Gaga,2601235,Biografie
Potop szwedzki,2599273,Historia
Audi A3,2597267,Technika
Luksemburg,2594444,Geografia
Katarzyna II Wielka,2588034,Biografie
Aleksander Kwaśniewski,2581583,Biografie
Zbrodnia katyńska,2561215,Historia
Melania Trump,2554216,Biografie
Sylvester Stallone,2548624,Biografie
Buddyzm,2544756,Religioznawstwo
Stan wojenny w Polsce (1981–1983),2537558,Historia
Wołodymyr Zełenski,2530127,Biografie
Fiat 126,2516780,Technika
Mistrzostwa Świata w Piłce Nożnej 2026,2514506,Społeczeństwo
Olsztyn,2510958,Polska
Alfabet,2509894,Nauki społeczne i humanistyczne
Lista państw świata według PKB nominalnego,2499895,Gospodarka
Ariana Grande,2499879,Biografie
Pi,2495661,Nauki ścisłe i przyrodnicze
Benedykt XVI,2490756,Biografie
Słowenia,2480319,Geografia
Wieża Eiffla,2470534,Technika
Mistrzostwa Europy w Piłce Nożnej 2024,2465096,Społeczeństwo
Państwa świata,2433834,Geografia
Wyspy Kanaryjskie,2432811,Geografia
Madera,2425126,Geografia
Jeffrey Dahmer,2424505,Biografie
Michał Wiśniewski,2422550,Biografie
Afryka,2422492,Geografia
Agnostycyzm,2421712,Filozofia
Alfabet rosyjski,2414428,Nauki społeczne i humanistyczne
Palestyna (państwo),2413540,Geografia
Republika Chińska,2409871,Geografia
Kora (wokalistka),2407264,Biografie
Mount Everest,2406417,Geografia
Jeffrey Epstein,2406249,Biografie
Quebonafide,2404339,Biografie
Pokolenie Z,2399925,Społeczeństwo
Google,2383944,Technika
Berlin,2383149,Geografia
